Affirmations,category
Je choisis maintenant de libérer ma colère et de récupérer mon bonheur,anger
"Je suis une personne puissante, pacifique et enjouée",anger
Je peux exprimer ma colère de manière respectueuse,anger
"Exprimer ma colère est un choix, un choix que je choisis de ne pas faire",anger
Je consacre ma vie à la paix et à l harmonie,anger
Je transforme la colère en paix,anger
Je resterai calme et centré dans les situations frustrantes,anger
Je suis autorisé à respirer un peu plus profondément,anger
"Les gens vont agir comme ils veulent, pas comme je veux qu ils agissent",anger
J efface tous les chemins Je suis enflammé de colère !,anger
"Si les gens me critiquent, je peux survivre avec ça",anger
Rien ne dit que je dois être parfait,anger
Je commence à gérer efficacement ma colère,anger
Je peux l admettre quand je fais une erreur,anger
Je peux l admettre quand je fais une erreur,anger
"Chaque fois que je libère la colère dans mon cœur, je retrouve l espace pour la paix",anger
Je suis maître de ma vie et de mes émotions,anger
J'efface toutes les voies que j ai envie de bouillir de colère !,anger
Je libère toute ma colère incarnée !,anger
"Si cette personne veut sortir du mur, c est son truc",anger
Je n ai pas besoin de répondre à leur colère ou de me sentir menacé,anger
Il est temps de se détendre et de ralentir les choses,anger
Je prends un temps d'arrêt si je deviens tendu ou si je commence à remarquer mes signaux,anger
Je peux sentir ma colère et garder le contrôle,anger
J ai le pouvoir de réguler mes émotions,anger
Je suis responsable de ma colère,anger
Je suis assez fort pour demander de l aide ou du soutien à quelqu un,anger
Je transforme ma colère en paix et j offre ma paix au monde,anger
Ma colère est un signal,anger
Il est temps de se parler et de se détendre,anger
J exprime ma colère sans faire honte à la personne,anger
Je libère toute cette colère brûlante !,anger
Je vais choisir une autre façon de répondre,anger
C est mieux de se débarrasser de la colère !,anger
Je suis capable de me calmer et de me détacher de la colère,anger
Je peux faire une pause si besoin,anger
"Se sentir coincé est un sentiment, pas un fait",anger
J efface tous les chemins où j habite dans la colère,anger
Je suis capable d être en colère sans exploser,anger
Je peux faire mieux la prochaine fois,anger
"Je me sens en colère, cela doit signifier que j ai été blessé, effrayé ou que j ai d autres sentiments primaires",anger
J efface et libère toutes mes pensées et mes sentiments de colère!,anger
"C est normal d être en colère, mais je dois l exprimer de manière contrôlée",anger
"La prochaine fois, je remarquerai que je me fâche plus tôt",anger
Je me souviens de respirer profondément quand je me sens en colère,anger
Je suis prêt à reprendre mon pouvoir de changer,anger
Je peux tout utiliser comme catalyseur pour quelque chose de mieux,anger
Je vais me contrôler,anger
Faire des erreurs et en tirer des leçons fait partie de l être humain,anger
Je suis capable de diffuser ma colère et de la canaliser de manière plus productive,anger
"Je suis libre de colère, de haine et de mécontentement",anger
Je trouve facile de me calmer et de me détendre,anger
C est mieux d agir par amour que par colère,anger
Je crois que tout dans l univers est dans un ordre parfait,anger
Mes actions et mes pensées sont alimentées par l amour et la gentillesse,anger
Je rejette et abandonne les sentiments de colère et Je reconnais ma colère mais refuse d agir,anger
Je transforme les sentiments de colère en maîtrise de soi et en acceptation,anger
Je transforme les sentiments de colère en maîtrise de soi et en acceptation,anger
Je choisis de ne pas réagir durement et avec colère,anger
Je reconnais ce qui déclenche mes sentiments négatifs et crée un environnement paisible,anger
J évite les situations stressantes et j accueille les sources de joie,anger
"Mon esprit est un espace calme, exempt de colère et de toxicité",anger
Je deviens la meilleure version de moi-même et je traite les autres avec gentillesse,anger
Je suis capable de désamorcer n importe quelle situation avec patience et retenue,anger
Je dégage une énergie positive qui expulse les pensées et les comportements négatifs,anger
Ce que je traverse est temporaire et ne trouble pas ma paix,anger
"Chaque fois que je me sens en colère, je me retire dans un lieu de lumière et de sérénité",anger
"Je me pardonne les erreurs du passé, sachant que l avenir sera meilleur",anger
"Je me pardonne les erreurs du passé, sachant que l avenir sera meilleur",anger
Je refuse de laisser la colère et la déception prendre le contrôle de ma vie,anger
Je suis capable de transformer des sentiments de colère en une expérience d apprentissage,anger
Contrôler ma colère me fait me sentir bien et fort,anger
Je me réveille chaque jour en me sentant paisible et heureux,anger
Je suis le seul à pouvoir décider de ma réaction,anger
La colère n est jamais mon choix,anger
"Je refuse de perdre du temps à me sentir déçu, triste et en colère",anger
Je reste recueilli sous une pression intense,anger
"Il inspire l excitation, pas la colère",anger
Je comprends que tout le monde s emporte de temps en temps,anger
"Chaque fois que la colère monte, je me concentre sur la doublure argentée",anger
Je suis une personne pacifique qui reste insensible à la colère,anger
Je deviens plus facile à vivre et plus heureux et libère la frustration refoulée,anger
"J ai hâte de nouer des relations significatives sans regret, frustration et déception",anger
"J ai hâte de nouer des relations significatives sans regret, frustration et déception",anger
J apprends à réagir à partir d un lieu d amour et de gentillesse,anger
Je bannis la colère et reprends le contrôle de mon bonheur,anger
Rien ne peut gâcher ma bonne humeur,anger
"J accueille les personnes et les expériences qui m apportent de la joie, de l amour et de la tranquillité",anger
Je fais toujours de mon mieux pour que les autres se sentent bien dans leur peau,anger
Je ne laisse pas l inconfort et la tension me déstabiliser,anger
Mon aura apaisante attire les gens gentils et doux,anger
Je transforme ma colère et mon stress en solutions créatives face à des problèmes,anger
"Malgré les problèmes, mon corps reste détendu et mon esprit reste clair et concentré",anger
Je reste calme et serein en toutes circonstances et laisse la colère fondre,anger
Je travaille à mieux gérer mes émotions,anger
Je n ai pas peur d affronter ma colère et de répondre aux autres avec plus de douceur,anger
Je n ai pas peur d affronter ma colère et de répondre aux autres avec plus de douceur,anger
Je refuse de laisser les disputes s envenimer et ronger ma paix intérieure,anger
J exprime mes émotions de manière réfléchie et respectueuse,anger
Je ne suis pas accablé par la colère et les circonstances inattendues,anger
"Au contraire, j ai confiance que de bonnes choses se dirigent vers moi",anger
"Partout où je regarde, je ne vois que gentillesse, amour et convivialité",anger
Les choses insignifiantes ne peuvent pas me faire perdre mon sang-froid,anger
"Le stress est inévitable, mais c est à moi d y répondre",anger
Je refuse de laisser la colère me transformer en une personne rancunière,anger
Je prendrai les mesures nécessaires pour créer une vie d ordre et de gentillesse,anger
Mon âme déborde d émotions positives,anger
Le pardon me vient naturellement,anger
"Il y a une ligne fine entre l agacement et la colère, et je fais attention à ne pas la franchir",anger
La colère m empêche d atteindre mon plein potentiel et de vivre ma meilleure vie,anger
Je ne saperai pas ma croissance par un comportement autodestructeur,anger
Je nettoie mon cœur des émotions qui ne me servent plus,anger
Libérer ma colère améliorera ma qualité de vie et rendra mes amis et ma famille heureux,anger
Libérer la colère améliorera ma qualité de vie et rendra mes amis et ma famille heureux,anger
Je suis prêt à commencer un nouveau chapitre de vie et à apporter des changements positifs,anger
Couver de la colère nuit à ma santé mentale et physique,anger
"Tout arrive pour une raison, et cette incertitude révélera de nouvelles opportunités de croissance",anger
Je me consacre à protéger ma paix et à maintenir mon bonheur,anger
Je bannis la peur et le stress et embrasse les joies et les miracles de la vie quotidienne,anger
J ai tous les outils nécessaires pour changer ma vie pour le mieux,anger
