Sentence,category
Je travaille ma récupération,shame
Je suis une personne imparfaite mais valable,shame
J ai de la valeur et la significance,shame
Je peux m aimer et accepter mon passé,shame
"Je suis une personne valable, exactement comme Dieu voulait que je sois",shame
Je retrouve mon intégrité un jour à la fois,shame
"Je suis digne d amour et d acceptation, exactement comme je suis",shame
"Aujourd hui, j ai choisi de vivre dans l instant",shame
Mes actions passées ne me définissent pas dans le présent,shame
Je suis capable de donner et de recevoir de l amour,shame
Je respecte les limites des autres,shame
Je me rétablis avec l aide des autres,shame
"J ai fait de mauvaises choses, mais je ne suis pas une mauvaise personne",shame
C est OK pour moi de parler aux autres de ce que je pense et ressens,shame
J abandonne ma honte,shame
Je suis pleinement présent aujourd hui,shame
Je peux guérir et me pardonner les torts que j ai causés,shame
Je suis une meilleure personne aujourd hui que je ne l étais hier,shame
"Je suis capable de demander et d accepter de l aide quand j en ai besoin, sans avoir honte",shame
"Aujourd hui, je choisis de tendre la main aux autres avant d agir dans ma dépendance",shame
J ai de la compassion pour moi et pour les autres,shame
Je suis heureux de vivre ma vie un jour à la fois,shame
"Je recherche le progrès, pas la perfection",shame
Je vis une vie meilleure aujourd hui qu hier,shame
"J apporte des changements positifs dans ma vie, une étape à la fois",shame
"Aujourd hui, mon cœur est pur",shame
Je suis courageusement et rigoureusement honnête dans tous les aspects de la vie,shame
"Les échecs extérieurs sont des opportunités d'apprentissage, Ils ne me découragent plus",shame
Je vis une vie d intégrité,shame
"Aujourd hui, je vis mes valeurs",shame
Les sentiments négatifs ne sont que des sentiments,shame
Ils ne durent pas,shame
J honore qui je suis,shame
Je vaux la peine d être aimé,shame
Il y a de l amour tout autour de moi,shame
"Je récupère et guéris, un jour à la fois",shame
J en ai assez,shame
"Je suis la bonne personne, au bon endroit, au bon moment",shame
"Aujourd hui, je choisis d être moi-même et d être heureux avec qui je suis",shame
Je crois en moi et en mes capacités,shame
"Aujourd hui, je vais faire de petites choses avec beaucoup d amour",shame
"Ma sobriété est un voyage, pas une destination",shame
"Aujourd hui, je vais profiter du voyage",shame
Ma récupération fonctionne quand je la travaille,shame
Je vaux l effort de récupération,shame
"Je suis responsable de l effort, pas du résultat",shame
"Aujourd hui, je suis plus fort que ma dépendance",shame
Je m aime,shame
Le bonheur est en moi,shame
"Ma vie m appartient, pas ma dépendance",shame
J apprécie et chéris le vrai moi de plus en plus chaque jour,shame
Je suis une personne heureuse et paisible,shame
Je suis une personne forte avec des habitudes saines,shame
Je suis capable de relations saines avec les autres,shame
Mon esprit guérit,shame
"Aujourd hui, je marche sur le bon chemin",shame
Je vis comme Dieu l a voulu,shame
Tous mes problèmes ont une solution,shame
Je suis fière de moi,shame
Je mérite d être sobre et de guérir,shame
Je peux et je veux,shame
"Aujourd hui, j ai le choix et le choix que je fais est la sobriété",shame
"Lorsque je suis troublé, je peux m arrêter, respirer et demander de l aide",shame
Je ne suis pas insuffisant,shame
Il n y a rien de mal avec moi,shame
Je suis belle et digne d admiration,shame
Je suis digne de respect et d honneur,shame
Il n y a rien à avoir honte de moi,shame
Je ne suis pas un paquet de jonques,shame
"Je suis précieux, habile et talentueux",shame
Je peux produire de bons résultats et un impact positif,shame
J ajoute de la sauce partout où j'entre,shame
Je possède des solutions aux problèmes des gens,shame
Je ne suis pas la cause de mauvais événements,shame
Je suis un gros problème,shame
Je suis adorable,shame
Les gens ne me détestent pas,shame
Je ne suis pas foiré,shame
Le monde n est pas contre moi,shame
Mon passé ne me définit pas,shame
contrôle ma vie,shame
Les choses vont encore s arranger pour moi,shame
Je suis intelligent,shame
Je suis productif,shame
Je suis nécessaire,shame
Dieu est de mon côté,shame
Tout travaille pour mon bien,shame
Je suis pardonné,shame
Je suis libre,shame
Je suis sympathique,shame
Je suis amical,shame
Je peux encore vivre heureux et je choisis de vivre heureux,shame
J ai toujours des relations saines,shame
Je suis digne,shame
Tout ce qui m est arrivé n a pas entaché ma personnalité,shame
Je suis toujours bon,shame
Je suis audacieux et confiant,shame
Mes cicatrices deviennent un ministère,shame
Je dépasse toutes les limites,shame
Je m élève au-dessus de la négativité et de la peur,shame
J affronte la vie avec optimisme,shame
Mes meilleurs jours sont devant moi,shame
J aide les autres à sortir de la honte,shame
Ma présence n apporte pas le mal,shame
Dieu a investi son amour en moi,shame
Je brille et je suis admirable,shame
Tout le monde me veut dans son équipe,shame
Je grandis continuellement,shame
Mon passé est derrière moi et ne peut pas m arrêter,shame
Je suis qualifié,shame
J accomplis mon destin,shame
Chaque expérience que j ai vécue m aidera à aider les autres,shame
Je continue de m améliorer chaque jour,shame
Je ne suis en compétition avec personne,shame
Je suis unique et doué pour mon objectif,shame
Je ne suis pas dégoûtant,shame
Je ne suis pas destructeur,shame
Je ne déteste pas le bien,shame
Je suis sain d esprit et raisonnable,shame
Je ne suis pas irréparable,shame
Je suis plein de joie et de positivité,shame
Je suis favorisé par tout le monde,shame
J aime les gens,shame
Je suis amical,shame
Je ne suis pas ennuyeux,shame
Je suis parfaitement apte à ma mission,shame
"Je ne suis pas fautif, Je ne suis pas toujours fautif",shame
J ai un bon sens du jugement,shame
je suis créatif,shame
Je ne suis pas un radié,shame
Les gens m admirent et les choses que je possède et fais,shame
Je ne vis pas dans la honte,shame
J aime qui je suis,shame
Il n est pas nécessaire de cacher mon visage,shame
je ne me cacherai plus,shame
