Affirmations,category
Je suis parfait tel que je suis,neutral
J ai en moi tout ce dont j ai besoin pour réussir,neutral
Je peux être le meilleur pour faire ce travail,neutral
Je n ai pas peur de me tromper,neutral
Le bonheur est à ma portée,neutral
Je parle avec confiance,neutral
J ai le courage d'être différent,neutral
Je peux réaliser tous mes souhaits,neutral
Je me sens à l aise même en dehors de ma zone de confort,neutral
Je mérite que mes rêves se réalisent,neutral
"Quoi qu il arrive, je peux le faire",neutral
Ma volonté est plus grande que n importe quelle difficulté,neutral
"Chaque jour, je deviens plus fort / intelligent / conscient",neutral
Je suis étonné de tout ce que mon corps et mon esprit sont capables de faire,neutral
Je suis la personne que je veux être,neutral
Je connais ma valeur,neutral
Je choisis qui deviens,neutral
J ai le pouvoir de changer mon histoire personnelle,neutral
J utilise mes erreurs comme tremplin vers mon succès,neutral
J ai le courage de dire non,neutral
Les obstacles ne sont que des défis à surmonter,neutral
Je me respecte,neutral
Je respecte mes limites et je suis reconnaissant pour mes talents,neutral
J ai tout ce dont j ai besoin pour rendre ma journée,neutral
Je m entoure de gens positifs,neutral
Je m aime et je me respecte tel que je suis,neutral
Je n ai rien à prouver à personne,neutral
Je suis 100% engagé à atteindre mes objectifs,neutral
Je peux gérer tout ce qui arrive,neutral
J ai le pouvoir de changer,neutral
Je suis capable de prendre des décisions,neutral
J ai le plein contrôle de ma vie,neutral
Je m adapte facilement aux changements,neutral
Je m engage à améliorer ma vie,neutral
J ai toute confiance dans mes décisions,neutral
Je vais arrêter de m'excuser pour la façon dont je suis,neutral
Je suis en paix avec tout ce qui m est arrivé dans la vie,neutral
"Mon corps est beau, sain et exprime mon âme",neutral
"Je suis stable, calme et concentré",neutral
J ai tout ce dont j'ai besoin,neutral
J ai de la chance,neutral
Je suis plein de bonnes idées,neutral
Je fonde mes décisions sur ma boussole intérieure,neutral
Je n ai besoin de personne d autre pour être heureux,neutral
"Quand je prends soin de moi, je prends soin du monde",neutral
L univers conspire en faveur de mon succès,neutral
"Je contrôle mes peurs, ce ne sont pas elles qui me contrôlent",neutral
"Je suis complète, même toute seule",neutral
"J assume la responsabilité de qui je suis, pour le meilleur ou pour le pire",neutral
Je me choisis moi-même,neutral
Je crois en moi,neutral
J honore les engagements que je me fais envers moi-même,neutral
Il n y a pas de mauvaise décision,neutral
Je crée ma vie comme je la veux pour moi,neutral
Je peux dire non aux autres pour me dire oui,neutral
Je peux trouver l enthousiasme dans la poursuite de mon travail avec excellence,neutral
Je peux me contenir sur tout ce que je veux,neutral
"Mon esprit est plein d énergie, lucide et concentré sur la réalisation de mes objectifs",neutral
Je concentre tous mes efforts sur ce que je veux accomplir dans ma vie,neutral
Je peux entrer dans l état de flow quand je le souhaite,neutral
J aborde les situations critiques avec calme et courage,neutral
Je trouverai des solutions même dans les moments difficiles,neutral
"Je serai moi-même, pas la personne que les autres veulent que je sois",neutral
"Aujourd hui, je ferai un grand pas vers la réalisation de mes objectifs",neutral
Toute résistance à la réalisation de mes objectifs a disparu,neutral
Je sais où je vais,neutral
Je me libère du doute et du pessimisme qui m empêche d atteindre mes objectifs,neutral
Je vois clairement la réalisation de mes objectifs,neutral
"Je vois clairement les obstacles entre moi et mon objectif, et je les dépasse",neutral
"Ma planification, mes actions et mon dévouement me mèneront à réaliser mes rêves",neutral
Mes objectifs quotidiens me permettent d atteindre mes objectifs à long terme,neutral
"Je vis dans le présent, sans jamais m attarder sur le passé, et j agis pour garantir un avenir merveilleux",neutral
"Je vais transformer mes rêves en objectifs, mes objectifs en petits objectifs, mes petits objectifs en actions et chaque jour, je vais faire une de ces actions",neutral
Mes objectifs sont simples à atteindre,neutral
Je changerai et m adapterai chaque fois que c est nécessaire,neutral
La responsabilité du succès ou de l échec m incombe,neutral
Je suis ma plus grande chance de succès,neutral
Je n accepte rien d autre que le meilleur,neutral
J assume l entière,neutral
