Affirmations,Category
Je n aurai pas peur aujourd'hui,fear
Cette peur n'est pas factuelle,fear
Je ne vais pas m enliser dans ces sentiments,fear
Je n aurai pas peur de ce que l avenir nous réserve,fear
Pensées négatives : allez-y!,fear
Je vais aller de l avant et laisser ma peur derrière moi,fear
Je vais me remplir de positivité et d amour,fear
Laissez la peur s écouler comme une rivière,fear
Je vais profiter de la vie et rien ne peut m arrêter,fear
Il n y aura plus rien à craindre après cela,fear
J ai la clarté dont j ai besoin pour voir les choses à travers,fear
Il y a des lueur despoir; Je n ai plus qu à les découvrir,fear
"Même dans les petites choses, je peux trouver de la joie",fear
J ai tout ce dont j ai besoin en ce moment,fear
Chaque seconde qui passe me donne de la force,fear
"Je suis reconnaissant pour tout dans la vie, même maintenant",fear
Je peux prospérer et m épanouir,fear
"De bonnes choses arrivent, et probablement plus tôt que prévu",fear
J ai les compétences pour trouver des solutions,fear
Je peux trouver la paix intérieure dont j ai besoin,fear
J aurai le courage nécessaire pour passer à l étape suivante,fear
"J ai un but, et la peur ne m empêchera pas de l accomplir",fear
Je suis une personne aimée et bénie,fear
J ai un potentiel illimité,fear
"Se sentir détendu et déchaîné, c est ce que j aime",fear
Je suis plus fort que je ne le pense,fear
Tout ce qui se passe en ce moment finira par s arranger,fear
Tout est pour mon bien,fear
Je me fais confiance pour traverser cette montagne,fear
Je consacrerai mon énergie à mes passions et à mes objectifs,fear
Que mon esprit soit tranquille,fear
Je vais me détendre et respirer,fear
"Il vaut mieux se sentir calme, recueilli et concentré",fear
Pas le temps d avoir peur,fear
Tout cela n est qu un entraînement pour devenir plus joyeux et plein de curiosité,fear
Je suis une personne libre,fear
Personne d autre ne peut me forcer à faire quoi que ce soit,fear
Tout va bien maintenant,fear
Chaque respiration profonde expulse la peur de moi,fear
Je m aime inconditionnellement et je suis une personne merveilleuse,fear
"L avenir est prometteur, même si les choses semblent sombres en ce moment",fear
Je surmonterai cette peur et je me dresserai contre elle,fear
Je suis assez fort pour prendre soin de moi,fear
Je suis toujours pris en charge,fear
Je dois me concentrer sur les bonnes choses,fear
La vie a tellement de choses que je peux espérer,fear
Tout arrive au bon moment,fear
Toutes les mauvaises choses qui m arrivent sont des opportunités d apprentissage,fear
Je peux apprendre quelque chose de ce qui se passe en ce moment,fear
Je ne me laisserai pas noyer dans la peur,fear
Mes meilleurs efforts suffisent,fear
"A partir de maintenant, la peur n est plus une option",fear
Je mérite d être libre de la peur,fear
Je vais me remettre de cet échec,fear
"Je n abandonnerai pas, quoi qu il arrive",fear
"Tout ce qui me retenait, je l abandonnais",fear
Toutes les erreurs que j ai commises sont des chances de devenir plus sage,fear
"Quand je fais face à mes peurs, je me sens renforcée",fear
Je suis celui qui change ma vie,fear
Il est plus facile d avancer quand il n y a aucune raison d avoir peur,fear
Avoir peur ne fera qu empirer les choses,fear
Ma vie deviendra un voyage heureux,fear
J aurai confiance en moi,fear
C est une excellente journée pour surmonter tout ce qui me fait peur,fear
"Quand je me centre, je peux tout surmonter sur mon chemin",fear
Je me battrai pour mes rêves,fear
Je suis une personne fort; Je peux m en sortir,fear
Un nouveau jour est une nouvelle opportunité,fear
J ai tout ce dont jai besoin pour une vie heureuse,fear
Je suis capable de résoudre tous les problèmes qui se présentent à moi,fear
Les sentiments de panique quittent mon corps,fear
J ai la capacité de surmonter l anxiété,fear
Je me libère du stress,fear
Je suis libre de tout ce qui me pèse,fear
Je détends chaque partie de mon corps,fear
Je suis maintenant en contrôle,fear
Mon corps est calme,fear
Je suis en contrôle,fear
Tout est bien dans mon monde,fear
Je vais m en sortir aujourd hui,fear
J accueille un sentiment de calme dans ma vie,fear
Je me donne la permission de ressentir cela sans jugement,fear
C est bon,fear
Tout ira bien,fear
Je suis courageux,fear
J ouvre mon âme à la paix,fear
Je suis maître de ma journée,fear
Je peux le faire,fear
"Je suis cool, calme et recueilli",fear
Je fais de mon mieux et ça suffit,fear
Je peux surmonter toutes les situations,fear
Je me sens détendu,fear
Je respire lentement,fear
Tout va bien,fear
Je suis là et tout va bien,fear
Je ne manque rien,fear
La vie est très simple,fear
Je me sens cool et recueilli,fear
L air que je respire me calme,fear
Je peux le faire,fear
Tout est sous mon contrôle,fear
Je suis fort,fear
Je suis libre,fear
Je peux surmonter n importe quel obstacle,fear
Je vais bien maintenant,fear
Je suis aimé,fear
Je suis soutenu,fear
Je peux sentir le changement vers la paix,fear
Je sais que je suis digne de la paix,fear
La paix dont j ai besoin est en moi,fear
Personne d autre que moi ne peut m aider à atteindre la paix,fear
Le pouvoir est entre mes mains,fear
Je sais que les problèmes sont temporaires,fear
Tous les problèmes ont des solutions,fear
Je suis capable de tout gérer,fear
C est bon,fear
Je vais bien en ce moment,fear
J apprécie le sentiment de calme,fear
Je me sens léger et calme,fear
Rien ne peut perturber ma paix,fear
Je m efforce d atteindre la paix intérieure,fear
Ma vie est en paix à tout moment,fear
L harmonie et la paix m entourent,fear
Je suis 100% détendu en ce moment même,fear
Je peux être détendu dans toutes les situations,fear
La paix intérieure est mon objectif,fear
Je suis entouré de paix et d énergie positive,fear
"À chaque respiration que je prends, je laisse la paix dans mon corps",fear
Je peux sentir la connexion à ma paix intérieure,fear
Je suis reconnaissant pour la paix que j ai en ce moment,fear
Je me donne la permission d éliminer le stress de ma vie,fear
"Partout où je vais, je porte ma paix avec moi",fear
J attire des gens paisibles et calmes dans ma vie,fear
Je me sens profondément calme et détendu,fear
Ma vie tourne autour de la tranquillité,fear
Chaque cellule de mon corps a une vibration positive,fear
Il y a toujours une solution,fear
