Affirmation,Category
J attire la joie dans ma vie,surprise
Je suis supérieur aux pensées négatives et aux actions basses,surprise
Je maîtrise mes émotions en changeant mes pensées,surprise
Je contrôlerai mes émotions,surprise
Je contrôle toujours mes émotions,surprise
Je contrôle mes émotions à tout moment,surprise
Je suis honnête avec mes sentiments,surprise
Je suis en contact avec mes sentiments et nourris ceux qui élèvent mon être,surprise
Je me concentre sur des pensées paisibles,surprise
Je sais rester cool dans des situations stressantes,surprise
Je surveille mes humeurs à tout moment,surprise
"Aujourd hui, je vais gagner en force émotionnelle",surprise
Je peux exprimer mes émotions,surprise
Je suis maître de mes réactions émotionnelles,surprise
Mes sentiments sont valables,surprise
Je ne perdrai pas le contrôle de mes émotions,surprise
Contrôler mes émotions devient de plus en plus facile,surprise
Je me transforme en quelq un qui est naturellement calme et recueilli,surprise
Contrôler mes émotions améliorera ma vie,surprise
Se sentir calme est normal pour moi,surprise
Je pense à la façon dont mes actions affectent ce que je ressens,surprise
Je réfléchis avant d agir,surprise
"J ai le droit de me sentir parfois en colère, triste ou contrarié",surprise
Ce que je ressens est tout à fait normal,surprise
"Chaque fois que je rencontre de la colère, je réponds avec amour",surprise
Les élucubrations émotionnelles des autres n affectent jamais mon humeur positive,surprise
Mes émotions me servent bien,surprise
Chaque échec peut être une expérience d apprentissage,surprise
Je m entraîne à élever mes émotions chaque fois que je le peux,surprise
J assume l entière responsabilité de mes sentiments et de mes actes,surprise
Je prends toujours le temps de traiter mes sentiments,surprise
Mes réponses émotionnelles à certaines situations sont appropriées,surprise
J accueille les leçons que mes sentiments fournissent,surprise
Je m entraîne à élever mes émotions chaque fois que je le peux,surprise
Je laisse mes croyances et mes pensées positives me guider vers des émotions positives,surprise
Je suis conscient de ce que je ressens,surprise
J interprète avec justesse les émotions des autres,surprise
Je suis naturellement attentif aux émotions,surprise
J ai pleinement confiance en mon jugement émotionnel,surprise
Mes émotions seront gérables,surprise
Je vais reconnaître mes émotions,surprise
Je capte les changements d humeur chez moi et chez les autres,surprise
Je gère mes sentiments,surprise
Comprendre les émotions me vient facilement,surprise
Je suis conscient des sentiments de ceux qui m entourent,surprise
Je peux raisonner avec mes émotions,surprise
Mes émotions sont sous contrôle,surprise
Je gère mes sentiments,surprise
Je régule les émotions de mes pairs,surprise
Je réagis de façon appropriée à mes émotions,surprise
J interprète avec justesse les émotions des autres,surprise
"Je suis conscient que mes sentiments sont le résultat de mes pensées, croyances et émotions actuelles",surprise
Je suis l auteur de ce que je ressens,surprise
Je reste toujours calme,surprise
Je trouve plus facile de me calmer quand je suis stressé,surprise
Je trouve des moyens de me mettre à l aise,surprise
Je ne permets pas aux émotions négatives de prendre le contrôle de ma journée,surprise
Je m entoure de pensées heureuses,surprise
Je sais quels sont mes déclencheurs et comment réagir en conséquence,surprise
Je me permets de vivre pleinement chaque émotion,surprise
J écoute ce que je ressens,surprise
Je ne fais pas taire ce que je ressens,surprise
Je peux penser clairement dans des situations difficiles,surprise
"Chaque jour qui passe, j apprends à mieux contrôler mes sentiments",surprise
Je gère facilement mes émotions,surprise
Je sais ce que je ressens et pourquoi je me sens ainsi,surprise
"Aujourd hui, je travaille pour être plus heureux",surprise
Moi seul a le pouvoir de contrôler ce que je ressens,surprise
Je suis positif et je crée du bonheur et de la joie pour les autres,surprise
Je ne me laisse pas submerger par des émotions négatives,surprise
Je me concentre sur les émotions que je peux contrôler,surprise
Je n aborde jamais les situations sans considérer d abord mes sentiments,surprise
Je mets toujours ce que je ressens en premier,surprise
Mes émotions comptent,surprise
Mes sentiments comptent,surprise
J écoute comment mon cœur réagit à tout,surprise
Je sais me retirer quand les choses deviennent difficiles,surprise
J apprécie tout ce que la vie me réserve,surprise
Je me remets d émotions déstabilisantes,surprise
"C est normal que je me sente triste, en colère ou en deuil",surprise
Je ne permets pas à mes peurs de contrôler ce que je ressens,surprise
Je sais quand demander de l aide pour ce que je ressens,surprise
Je me laisserai pleurer quand c est nécessaire,surprise
Je laisserai exprimer ce que je ressens à mon partenaire avec respect,surprise
Je sais libérer mes émotions en toute sécurité,surprise
Je suis naturellement joyeux,surprise
Je suis naturellement toujours en paix,surprise
Je suis cool et recueilli à tout moment,surprise
Je m adapte aux changements de manière appropriée,surprise
Je ne laisserai pas mes émotions devenir incontrôlables,surprise
"Je me sens exalté, agile et vivant",surprise
Chaque émotion que je ressens m apporte une grande conscience de moi-même,surprise
Chaque émotion me donne une chance de m améliorer,surprise
"Chaque jour, je m exerce à ressentir les émotions positives du succès",surprise
Je me permets d exprimer mes sentiments lorsque cela est approprié et sain,surprise
Je suis honnête avec mes sentiments,surprise
Je suis gaie et calme dans toutes les situations,surprise
Je choisis des émotions positives à chaque occasion,surprise
J ai un exutoire sain pour mon bien-être émotionnel,surprise
