Affirmations,Category
J accepte tous mes sentiments et émotions,sadness
Je peux endurer et survivre à cette perte,sadness
Mes sentiments comptent,sadness
Je prendrai bien soin de moi dans cette période difficile,sadness
Chacun de mes sentiments est important,sadness
Mon deuil est normal et juste,sadness
Mon chagrin s adoucira avec le temps,sadness
Je ne suis pas seul; le chagrin arrive à tout le monde à un moment donné,sadness
Je suis reconnaissant pour ce que j avais et pour ce que j ai encore,sadness
Ma peine est réelle,sadness
Je pleure parce que j aime et je suis reconnaissant de pouvoir aimer,sadness
Je prendrai tout le temps dont j ai besoin pour faire le deuil de cette perte,sadness
"Mon chagrin me change, et c est ok",sadness
"Quand j ai besoin d aide, je peux la demander",sadness
J ai de merveilleux souvenirs et je leur en suis reconnaissant,sadness
Je suis patient avec moi-même dans mon chagrin,sadness
C est ok pour moi de ne pas être fort maintenant,sadness
Je respire la paix et l acceptation,sadness
Je me réconforte dans mes souvenirs,sadness
J accepte de me sentir fatiguée parfois; Je me reposerai quand j en aurai besoin,sadness
Il est sain et convenable de recommencer à être heureux quand je suis prêt,sadness
J ai tellement d amour dans ma vie,sadness
"Alors que mon chagrin passe, l amour restera",sadness
Je prends soin de moi comme je prendrais soin de mon être cher,sadness
Je me lève du chagrin dans la compassion,sadness
Je suis plus fort que je ne le sais,sadness
Je me permets de vivre pleinement mon deuil,sadness
J ai le courage d affronter ce chagrin,sadness
Je suis une meilleure personne pour l amour que j ai connu,sadness
Ce chagrin fait de moi une personne plus compatissante,sadness
Je serai mon meilleur ami pendant cette période douloureuse,sadness
Ce que j ai aimé reste avec moi pour toujours,sadness
Je respire en paix et j expire blessé,sadness
J ai toute la force dont j ai besoin,sadness
"J ai perdu quelque chose, mais pas tout",sadness
Je suis reconnaissant pour ce qui reste,sadness
"Ma paix sera restaurée, un petit pas à la fois",sadness
"Ma paix sera restaurée, un petit pas à la fois",sadness
"Je suis unique; Je pleure à ma manière, et c est ok",sadness
Je vais m aider à surmonter mon chagrin,sadness
Je peux contrôler mes émotions et mes pensées,sadness
Je chéris chaque petit succès pendant que je guéris,sadness
J accepte de me sentir engourdi et vide parfois pendant que je pleure,sadness
"Le deuil est difficile, mais je peux faire des choses difficiles",sadness
Lâcher prise fait partie de l être humain,sadness
Je m aime tendrement et prends soin de moi,sadness
Chaque fin est aussi un début,sadness
Cette douleur s atténuera avec le temps,sadness
Il est normal que je me sente parfois dépassée; Je serai patient pendant que je trouve mon chemin,sadness
je ne suis pas impuissant; je choisis de guérir,sadness
Je ne serai pas obsédé par ce que je ne peux pas contrôler,sadness
Tout le monde ressent parfois du chagrin et de la perte; je ne suis pas seul,sadness
Mon amour me portera à travers,sadness
je n abandonnerai jamais,sadness
J accepterai les choses que je ne peux pas changer,sadness
J accepte qu il soit normal de se sentir parfois en colère pendant que je guéris,sadness
Je suis persévérant et je surmonterai ce chagrin,sadness
Mon chagrin n est pas la fin de cette histoire,sadness
"Quand je me sens seul, je me souviens que je suis aimé ; et je tends la main aux autres",sadness
je garde espoir,sadness
Je pense à mon être cher perdu avec gratitude,sadness
Mes souvenirs me réconfortent de plus en plus au fil des jours,sadness
Tout finira par avoir un sens,sadness
Le bonheur et la douleur viennent à tout le monde,sadness
Mes larmes sont tout à fait normales et saines,sadness
Je suis reconnaissant chaque jour pour mon être cher,sadness
Je vais me donner le temps de trouver une nouvelle façon de vivre après ma perte,sadness
Je suis résilient face au changement,sadness
Je m adapte à une nouvelle réalité,sadness
Je vais me calmer pendant cette période,sadness
Je m accepte tel que je suis en ce moment,sadness
Ma guérison est un processus qui me portera à travers,sadness
Mon chagrin n est pas un problème à régler; c est un processus pour moi de vivre,sadness
"Je ne comprends pas ma vie en ce moment, et c est ok",sadness
"Certains jours, je me sens mieux et d autres jours, je me sens moins bien, c est normal et sain",sadness
J espère que mon cœur et mon esprit me feront traverser ce chagrin,sadness
"Ma douleur est réelle maintenant, mais elle est temporaire et passera",sadness
Je porte mon bien-aimé avec moi toujours dans mon coeur,sadness
Je chéris les moments heureux que j ai connus Je suis plus que mes pensées,sadness
Je choisis la paix,sadness
Se débarrasser des soucis devient facile,sadness
Je libère toutes les tensions de mon corps,sadness
Seules de bonnes choses m attendent,sadness
Je suis équilibré,sadness
Je vois le bien en moi,sadness
J apprécie la bonté dans ma vie,sadness
Je trouve de plus en plus des raisons d être reconnaissant,sadness
Je suis fier de moi d avoir réussi jusqu ici,sadness
Je suis résilient,sadness
Je m estime,sadness
Chaque jour est un cadeau,sadness
Je suis béni,sadness
Je suis aimé et apprécié même quand il semble que je ne le sois pas,sadness
"Tout le monde ne comprendra pas ma situation, et ça va",sadness
Des jours meilleurs sont à venir,sadness
Je mérite du bien,sadness
"Je mérite l amour, la joie et le bonheur",sadness
Je deviens plus fort,sadness
Les choses s améliorent,sadness
Les choses deviennent plus faciles,sadness
Je me pardonne,sadness
Je suis gentil avec moi-même,sadness
Je crois en moi,sadness
Cela passera aussi,sadness
"Je m aime inconditionnellement, surtout les jours où j ai du mal à le faire",sadness
Je peux créer mon propre destin,sadness
La vie vaut la peine d être vécue,sadness
Je mérite de me reposer quand j en ai besoin,sadness
